tweet,location,request_type,urgency
Need immediate assistance in Jammu. Situation critical.,Jammu,Medical,Urgent
Requesting Medical support in Surat. Please help.,Surat,Medical,Non-Urgent
"Family stranded in Kochi, require Food & Supplies.",Kochi,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Non-Urgent
Medical emergency reported in Shillong. Need Humanitarian.,Shillong,Humanitarian,Non-Urgent
Need immediate assistance in Chennai. Situation critical.,Chennai,Food & Supplies,Non-Urgent
Children in Aizawl require urgent Food & Supplies support.,Aizawl,Food & Supplies,Urgent
Requesting Humanitarian support in Mysuru. Please help.,Mysuru,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Vadodara.,Vadodara,Humanitarian,Urgent
Requesting Medical support in Indore. Please help.,Indore,Medical,Non-Urgent
Community in Imphal asking for Humanitarian assistance.,Imphal,Humanitarian,Urgent
Senior citizens need Food & Supplies assistance in Udaipur.,Udaipur,Food & Supplies,Urgent
Need immediate assistance in Imphal. Situation critical.,Imphal,Humanitarian,Non-Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Medical,Urgent
"Family stranded in Pune, require Humanitarian.",Pune,Humanitarian,Non-Urgent
Medical emergency reported in Agartala. Need Medical.,Agartala,Medical,Urgent
Senior citizens need Humanitarian assistance in Chennai.,Chennai,Humanitarian,Non-Urgent
Children in Mysuru require urgent Food & Supplies support.,Mysuru,Food & Supplies,Urgent
"Family stranded in Kolkata, require Food & Supplies.",Kolkata,Food & Supplies,Non-Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Bhubaneswar.,Bhubaneswar,Food & Supplies,Non-Urgent
Looking for volunteers in Patna for Medical help.,Patna,Medical,Urgent
Senior citizens need Food & Supplies assistance in Surat.,Surat,Food & Supplies,Urgent
Children in Shillong require urgent Medical support.,Shillong,Medical,Urgent
Medical emergency reported in Kolkata. Need Food & Supplies.,Kolkata,Food & Supplies,Urgent
Requesting Humanitarian support in Itanagar. Please help.,Itanagar,Humanitarian,Non-Urgent
Need immediate assistance in Lucknow. Situation critical.,Lucknow,Medical,Urgent
Senior citizens need Medical assistance in Jaipur.,Jaipur,Medical,Urgent
Looking for volunteers in Itanagar for Medical help.,Itanagar,Medical,Urgent
Senior citizens need Food & Supplies assistance in Noida.,Noida,Food & Supplies,Urgent
Children in Hyderabad require urgent Medical support.,Hyderabad,Medical,Non-Urgent
Looking for volunteers in Jammu for Humanitarian help.,Jammu,Humanitarian,Urgent
"Supplies running low in Thiruvananthapuram, need Medical.",Thiruvananthapuram,Medical,Non-Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Urgent
Looking for volunteers in Srinagar for Medical help.,Srinagar,Medical,Non-Urgent
Community in Surat asking for Medical assistance.,Surat,Medical,Urgent
Children in Coimbatore require urgent Humanitarian support.,Coimbatore,Humanitarian,Urgent
Medical emergency reported in Vadodara. Need Medical.,Vadodara,Medical,Non-Urgent
Looking for volunteers in Goa for Food & Supplies help.,Goa,Food & Supplies,Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Non-Urgent
"Supplies running low in Bengaluru, need Humanitarian.",Bengaluru,Humanitarian,Urgent
"Supplies running low in Goa, need Food & Supplies.",Goa,Food & Supplies,Urgent
Requesting Medical support in Imphal. Please help.,Imphal,Medical,Urgent
Need immediate assistance in Agartala. Situation critical.,Agartala,Humanitarian,Urgent
Urgent call for Humanitarian aid in Hyderabad.,Hyderabad,Humanitarian,Urgent
Looking for volunteers in Itanagar for Humanitarian help.,Itanagar,Humanitarian,Urgent
Need immediate assistance in Pune. Situation critical.,Pune,Food & Supplies,Non-Urgent
Children in Cuttack require urgent Humanitarian support.,Cuttack,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Coimbatore.,Coimbatore,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Ranchi.,Ranchi,Humanitarian,Urgent
"Family stranded in Itanagar, require Medical.",Itanagar,Medical,Non-Urgent
Senior citizens need Humanitarian assistance in Guwahati.,Guwahati,Humanitarian,Non-Urgent
Urgent call for Food & Supplies aid in Mysuru.,Mysuru,Food & Supplies,Urgent
"Family stranded in Chennai, require Food & Supplies.",Chennai,Food & Supplies,Urgent
Children in Ahmedabad require urgent Humanitarian support.,Ahmedabad,Humanitarian,Non-Urgent
Community in Hyderabad asking for Humanitarian assistance.,Hyderabad,Humanitarian,Non-Urgent
Children in Delhi require urgent Medical support.,Delhi,Medical,Non-Urgent
Urgent call for Medical aid in Mysuru.,Mysuru,Medical,Non-Urgent
"Supplies running low in Jammu, need Food & Supplies.",Jammu,Food & Supplies,Non-Urgent
Children in Srinagar require urgent Humanitarian support.,Srinagar,Humanitarian,Non-Urgent
Looking for volunteers in Lucknow for Food & Supplies help.,Lucknow,Food & Supplies,Urgent
Looking for volunteers in Chennai for Food & Supplies help.,Chennai,Food & Supplies,Urgent
"Supplies running low in Hyderabad, need Medical.",Hyderabad,Medical,Non-Urgent
Children in Goa require urgent Humanitarian support.,Goa,Humanitarian,Urgent
Looking for volunteers in Jaipur for Food & Supplies help.,Jaipur,Food & Supplies,Non-Urgent
Senior citizens need Humanitarian assistance in Bengaluru.,Bengaluru,Humanitarian,Non-Urgent
Urgent call for Humanitarian aid in Chennai.,Chennai,Humanitarian,Non-Urgent
"Family stranded in Kolkata, require Humanitarian.",Kolkata,Humanitarian,Non-Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Non-Urgent
Need immediate assistance in Noida. Situation critical.,Noida,Humanitarian,Urgent
Children in Jammu require urgent Humanitarian support.,Jammu,Humanitarian,Urgent
Senior citizens need Humanitarian assistance in Gurugram.,Gurugram,Humanitarian,Urgent
Requesting Humanitarian support in Thiruvananthapuram. Please help.,Thiruvananthapuram,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Cuttack.,Cuttack,Food & Supplies,Non-Urgent
Looking for volunteers in Leh for Food & Supplies help.,Leh,Food & Supplies,Non-Urgent
Children in Leh require urgent Food & Supplies support.,Leh,Food & Supplies,Urgent
Requesting Humanitarian support in Guwahati. Please help.,Guwahati,Humanitarian,Urgent
Medical emergency reported in Gurugram. Need Humanitarian.,Gurugram,Humanitarian,Urgent
Children in Agartala require urgent Medical support.,Agartala,Medical,Urgent
"Family stranded in Thiruvananthapuram, require Humanitarian.",Thiruvananthapuram,Humanitarian,Non-Urgent
"Family stranded in Lucknow, require Food & Supplies.",Lucknow,Food & Supplies,Urgent
Looking for volunteers in Pune for Food & Supplies help.,Pune,Food & Supplies,Urgent
Urgent call for Humanitarian aid in Bhubaneswar.,Bhubaneswar,Humanitarian,Non-Urgent
Need immediate assistance in Delhi. Situation critical.,Delhi,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Kochi.,Kochi,Humanitarian,Non-Urgent
Need immediate assistance in Ahmedabad. Situation critical.,Ahmedabad,Medical,Non-Urgent
Urgent call for Medical aid in Shillong.,Shillong,Medical,Urgent
Need immediate assistance in Udaipur. Situation critical.,Udaipur,Medical,Non-Urgent
Medical emergency reported in Mumbai. Need Humanitarian.,Mumbai,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Chandigarh.,Chandigarh,Food & Supplies,Non-Urgent
Community in Coimbatore asking for Medical assistance.,Coimbatore,Medical,Non-Urgent
Community in Coimbatore asking for Medical assistance.,Coimbatore,Medical,Urgent
Children in Bhopal require urgent Food & Supplies support.,Bhopal,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Jaipur.,Jaipur,Humanitarian,Non-Urgent
"Supplies running low in Jaipur, need Humanitarian.",Jaipur,Humanitarian,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Medical,Urgent
Need immediate assistance in Vadodara. Situation critical.,Vadodara,Humanitarian,Non-Urgent
Senior citizens need Humanitarian assistance in Indore.,Indore,Humanitarian,Urgent
Medical emergency reported in Guwahati. Need Food & Supplies.,Guwahati,Food & Supplies,Non-Urgent
Urgent call for Food & Supplies aid in Kanpur.,Kanpur,Food & Supplies,Urgent
Requesting Humanitarian support in Aizawl. Please help.,Aizawl,Humanitarian,Urgent
Looking for volunteers in Ranchi for Humanitarian help.,Ranchi,Humanitarian,Non-Urgent
Urgent call for Medical aid in Aizawl.,Aizawl,Medical,Urgent
Community in Kanpur asking for Food & Supplies assistance.,Kanpur,Food & Supplies,Non-Urgent
Senior citizens need Food & Supplies assistance in Kochi.,Kochi,Food & Supplies,Non-Urgent
Requesting Food & Supplies support in Nagpur. Please help.,Nagpur,Food & Supplies,Urgent
Looking for volunteers in Patna for Food & Supplies help.,Patna,Food & Supplies,Non-Urgent
Need immediate assistance in Gurugram. Situation critical.,Gurugram,Humanitarian,Non-Urgent
Requesting Food & Supplies support in Goa. Please help.,Goa,Food & Supplies,Urgent
Community in Noida asking for Medical assistance.,Noida,Medical,Non-Urgent
Children in Gurugram require urgent Food & Supplies support.,Gurugram,Food & Supplies,Non-Urgent
Need immediate assistance in Chandigarh. Situation critical.,Chandigarh,Medical,Urgent
Need immediate assistance in Coimbatore. Situation critical.,Coimbatore,Humanitarian,Urgent
"Supplies running low in Pune, need Humanitarian.",Pune,Humanitarian,Non-Urgent
Need immediate assistance in Goa. Situation critical.,Goa,Medical,Urgent
"Supplies running low in Mysuru, need Medical.",Mysuru,Medical,Urgent
Requesting Humanitarian support in Siliguri. Please help.,Siliguri,Humanitarian,Urgent
Medical emergency reported in Warangal. Need Humanitarian.,Warangal,Humanitarian,Non-Urgent
Medical emergency reported in Udaipur. Need Medical.,Udaipur,Medical,Non-Urgent
Community in Cuttack asking for Humanitarian assistance.,Cuttack,Humanitarian,Non-Urgent
"Supplies running low in Mumbai, need Humanitarian.",Mumbai,Humanitarian,Non-Urgent
Need immediate assistance in Coimbatore. Situation critical.,Coimbatore,Medical,Urgent
Senior citizens need Medical assistance in Coimbatore.,Coimbatore,Medical,Non-Urgent
Senior citizens need Medical assistance in Agartala.,Agartala,Medical,Non-Urgent
Community in Mumbai asking for Food & Supplies assistance.,Mumbai,Food & Supplies,Non-Urgent
Children in Thiruvananthapuram require urgent Humanitarian support.,Thiruvananthapuram,Humanitarian,Urgent
Medical emergency reported in Udaipur. Need Food & Supplies.,Udaipur,Food & Supplies,Non-Urgent
Looking for volunteers in Chennai for Medical help.,Chennai,Medical,Urgent
Urgent call for Humanitarian aid in Ranchi.,Ranchi,Humanitarian,Urgent
Requesting Food & Supplies support in Jaipur. Please help.,Jaipur,Food & Supplies,Non-Urgent
"Family stranded in Chennai, require Humanitarian.",Chennai,Humanitarian,Non-Urgent
"Supplies running low in Siliguri, need Humanitarian.",Siliguri,Humanitarian,Urgent
Looking for volunteers in Agartala for Medical help.,Agartala,Medical,Urgent
Looking for volunteers in Delhi for Humanitarian help.,Delhi,Humanitarian,Urgent
Community in Cuttack asking for Medical assistance.,Cuttack,Medical,Urgent
Looking for volunteers in Ahmedabad for Medical help.,Ahmedabad,Medical,Non-Urgent
Community in Itanagar asking for Humanitarian assistance.,Itanagar,Humanitarian,Urgent
Community in Bhubaneswar asking for Humanitarian assistance.,Bhubaneswar,Humanitarian,Urgent
Medical emergency reported in Patna. Need Food & Supplies.,Patna,Food & Supplies,Non-Urgent
"Family stranded in Pune, require Humanitarian.",Pune,Humanitarian,Non-Urgent
Senior citizens need Food & Supplies assistance in Kolkata.,Kolkata,Food & Supplies,Non-Urgent
Senior citizens need Medical assistance in Gurugram.,Gurugram,Medical,Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Non-Urgent
Need immediate assistance in Cuttack. Situation critical.,Cuttack,Food & Supplies,Non-Urgent
Looking for volunteers in Mysuru for Humanitarian help.,Mysuru,Humanitarian,Urgent
Community in Noida asking for Medical assistance.,Noida,Medical,Urgent
Looking for volunteers in Jammu for Food & Supplies help.,Jammu,Food & Supplies,Non-Urgent
Urgent call for Humanitarian aid in Kochi.,Kochi,Humanitarian,Urgent
Children in Ahmedabad require urgent Food & Supplies support.,Ahmedabad,Food & Supplies,Urgent
Requesting Food & Supplies support in Jaipur. Please help.,Jaipur,Food & Supplies,Urgent
Medical emergency reported in Hyderabad. Need Medical.,Hyderabad,Medical,Urgent
Need immediate assistance in Itanagar. Situation critical.,Itanagar,Food & Supplies,Urgent
Children in Pune require urgent Medical support.,Pune,Medical,Urgent
"Supplies running low in Agartala, need Food & Supplies.",Agartala,Food & Supplies,Urgent
Urgent call for Medical aid in Jaipur.,Jaipur,Medical,Non-Urgent
Looking for volunteers in Kanpur for Medical help.,Kanpur,Medical,Urgent
Community in Mumbai asking for Medical assistance.,Mumbai,Medical,Non-Urgent
Community in Kochi asking for Humanitarian assistance.,Kochi,Humanitarian,Non-Urgent
Medical emergency reported in Lucknow. Need Humanitarian.,Lucknow,Humanitarian,Urgent
Urgent call for Food & Supplies aid in Udaipur.,Udaipur,Food & Supplies,Non-Urgent
Need immediate assistance in Jaipur. Situation critical.,Jaipur,Medical,Non-Urgent
Urgent call for Medical aid in Imphal.,Imphal,Medical,Non-Urgent
"Supplies running low in Leh, need Food & Supplies.",Leh,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Kanpur.,Kanpur,Humanitarian,Urgent
Medical emergency reported in Vadodara. Need Food & Supplies.,Vadodara,Food & Supplies,Urgent
Requesting Food & Supplies support in Noida. Please help.,Noida,Food & Supplies,Non-Urgent
"Supplies running low in Nagpur, need Medical.",Nagpur,Medical,Non-Urgent
Need immediate assistance in Bhopal. Situation critical.,Bhopal,Humanitarian,Non-Urgent
Looking for volunteers in Chennai for Food & Supplies help.,Chennai,Food & Supplies,Urgent
Senior citizens need Humanitarian assistance in Mysuru.,Mysuru,Humanitarian,Urgent
Senior citizens need Medical assistance in Ranchi.,Ranchi,Medical,Urgent
Requesting Medical support in Udaipur. Please help.,Udaipur,Medical,Urgent
Senior citizens need Medical assistance in Kochi.,Kochi,Medical,Non-Urgent
"Family stranded in Noida, require Medical.",Noida,Medical,Urgent
Requesting Medical support in Bengaluru. Please help.,Bengaluru,Medical,Non-Urgent
"Supplies running low in Surat, need Humanitarian.",Surat,Humanitarian,Non-Urgent
Medical emergency reported in Imphal. Need Humanitarian.,Imphal,Humanitarian,Non-Urgent
Community in Indore asking for Medical assistance.,Indore,Medical,Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Medical,Non-Urgent
"Family stranded in Mysuru, require Humanitarian.",Mysuru,Humanitarian,Urgent
"Family stranded in Kanpur, require Food & Supplies.",Kanpur,Food & Supplies,Urgent
"Family stranded in Hyderabad, require Medical.",Hyderabad,Medical,Non-Urgent
Need immediate assistance in Surat. Situation critical.,Surat,Humanitarian,Non-Urgent
"Family stranded in Bhubaneswar, require Humanitarian.",Bhubaneswar,Humanitarian,Urgent
Children in Lucknow require urgent Food & Supplies support.,Lucknow,Food & Supplies,Urgent
Medical emergency reported in Cuttack. Need Humanitarian.,Cuttack,Humanitarian,Urgent
Need immediate assistance in Bhubaneswar. Situation critical.,Bhubaneswar,Food & Supplies,Non-Urgent
Children in Indore require urgent Food & Supplies support.,Indore,Food & Supplies,Non-Urgent
Requesting Medical support in Jaipur. Please help.,Jaipur,Medical,Urgent
"Family stranded in Ranchi, require Humanitarian.",Ranchi,Humanitarian,Non-Urgent
Children in Chennai require urgent Humanitarian support.,Chennai,Humanitarian,Non-Urgent
